date,Usage_kWh,Lagging_Current_Reactive_Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,month,time_of_day,machine_downtime,Usage_kWh_categorical,year,day
2018-01-01 02:30:00,3.78,4.72,0.0,0.0,62.51,100.0,9000,Weekday,Monday,1,Night,Uptime,Low,2018,1
2018-01-01 04:15:00,3.28,3.82,0.0,0.0,65.14,100.0,15300,Weekday,Monday,1,Night,Uptime,Low,2018,1
2018-01-01 05:45:00,3.28,3.49,0.0,0.0,68.48,100.0,20700,Weekday,Monday,1,Night,Uptime,Low,2018,1
2018-01-01 10:00:00,3.64,0.0,16.88,0.0,100.0,21.08,36000,Weekday,Monday,1,Morning,Downtime,Low,2018,1
2018-01-01 10:30:00,3.71,0.0,18.0,0.0,100.0,20.19,37800,Weekday,Monday,1,Morning,Downtime,Low,2018,1
2018-01-01 10:45:00,3.6,0.0,16.92,0.0,100.0,20.81,38700,Weekday,Monday,1,Morning,Downtime,Low,2018,1
2018-01-01 13:00:00,3.67,0.0,16.63,0.0,100.0,21.55,46800,Weekday,Monday,1,Afternoon,Downtime,Low,2018,1
2018-01-01 15:45:00,3.6,0.0,16.81,0.0,100.0,20.94,56700,Weekday,Monday,1,Afternoon,Downtime,Low,2018,1
2018-01-02 02:30:00,3.6,4.36,0.0,0.0,63.67,100.0,9000,Weekday,Tuesday,1,Night,Uptime,Low,2018,2
2018-01-02 03:45:00,3.24,3.49,0.0,0.0,68.04,100.0,13500,Weekday,Tuesday,1,Night,Uptime,Low,2018,2
2018-01-02 04:00:00,3.89,4.64,0.0,0.0,64.25,100.0,14400,Weekday,Tuesday,1,Night,Uptime,Low,2018,2
2018-01-02 05:45:00,3.24,3.42,0.0,0.0,68.77,100.0,20700,Weekday,Tuesday,1,Night,Uptime,Low,2018,2
2018-01-02 12:15:00,19.22,5.54,18.9,0.0,96.09,71.3,44100,Weekday,Tuesday,1,Afternoon,Uptime,Low,2018,2
2018-01-02 15:15:00,86.9,34.27,0.0,0.0,93.03,100.0,54900,Weekday,Tuesday,1,Afternoon,Uptime,High,2018,2
2018-01-03 05:45:00,4.57,4.43,0.0,0.0,71.8,100.0,20700,Weekday,Wednesday,1,Night,Uptime,Low,2018,3
2018-01-03 07:15:00,4.46,4.18,0.0,0.0,72.96,100.0,26100,Weekday,Wednesday,1,Morning,Uptime,Low,2018,3
2018-01-03 11:15:00,57.56,23.9,0.0,0.03,92.36,100.0,40500,Weekday,Wednesday,1,Morning,Uptime,High,2018,3
2018-01-03 16:00:00,68.98,25.81,0.0,0.03,93.66,100.0,57600,Weekday,Wednesday,1,Afternoon,Uptime,High,2018,3
2018-01-03 16:45:00,118.62,39.06,0.0,0.05,94.98,100.0,60300,Weekday,Wednesday,1,Afternoon,Uptime,High,2018,3
2018-01-03 18:00:00,73.62,13.25,1.69,0.03,98.42,99.97,64800,Weekday,Wednesday,1,Afternoon,Uptime,High,2018,3
2018-01-04 00:15:00,4.61,4.57,0.0,0.0,71.02,100.0,900,Weekday,Thursday,1,Night,Uptime,Low,2018,4
2018-01-04 00:30:00,4.64,4.57,0.0,0.0,71.25,100.0,1800,Weekday,Thursday,1,Night,Uptime,Low,2018,4
2018-01-04 04:15:00,4.61,4.72,0.0,0.0,69.87,100.0,15300,Weekday,Thursday,1,Night,Uptime,Low,2018,4
2018-01-04 06:00:00,4.61,4.54,0.0,0.0,71.25,100.0,21600,Weekday,Thursday,1,Night,Uptime,Low,2018,4
2018-01-04 09:15:00,136.04,56.7,0.0,0.06,92.3,100.0,33300,Weekday,Thursday,1,Morning,Uptime,High,2018,4
2018-01-04 14:15:00,117.97,41.72,0.0,0.05,94.28,100.0,51300,Weekday,Thursday,1,Afternoon,Uptime,High,2018,4
2018-01-04 14:30:00,121.93,43.56,0.0,0.06,94.17,100.0,52200,Weekday,Thursday,1,Afternoon,Uptime,High,2018,4
2018-01-04 15:45:00,138.06,51.8,0.0,0.06,93.63,100.0,56700,Weekday,Thursday,1,Afternoon,Uptime,High,2018,4
2018-01-05 23:00:00,4.07,4.07,0.0,0.0,70.71,100.0,82800,Weekday,Friday,1,Evening,Uptime,Low,2018,5
2018-01-06 15:30:00,3.42,0.0,17.42,0.0,100.0,19.26,55800,Weekend,Saturday,1,Afternoon,Downtime,Low,2018,6
2018-01-06 18:30:00,3.24,0.0,6.23,0.0,100.0,46.14,66600,Weekend,Saturday,1,Evening,Downtime,Low,2018,6
2018-01-07 05:00:00,3.38,3.6,0.0,0.0,68.45,100.0,18000,Weekend,Sunday,1,Night,Uptime,Low,2018,7
2018-01-07 12:30:00,4.1,0.0,22.46,0.0,100.0,17.96,45000,Weekend,Sunday,1,Afternoon,Downtime,Low,2018,7
2018-01-07 14:15:00,3.6,0.0,16.74,0.0,100.0,21.02,51300,Weekend,Sunday,1,Afternoon,Downtime,Low,2018,7
2018-01-08 07:00:00,3.38,4.32,0.0,0.0,61.62,100.0,25200,Weekday,Monday,1,Morning,Uptime,Low,2018,8
2018-01-08 09:00:00,114.95,42.34,0.0,0.05,93.84,100.0,32400,Weekday,Monday,1,Morning,Uptime,High,2018,8
2018-01-08 13:00:00,8.75,0.0,25.7,0.0,100.0,32.23,46800,Weekday,Monday,1,Afternoon,Downtime,Low,2018,8
2018-01-08 14:00:00,121.07,53.42,0.0,0.06,91.49,100.0,50400,Weekday,Monday,1,Afternoon,Uptime,High,2018,8
2018-01-08 20:00:00,145.3,61.74,0.0,0.07,92.04,100.0,72000,Weekday,Monday,1,Evening,Uptime,High,2018,8
